Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter,Compression
NGPL A/G Cross Haul Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,OK,Southwest,FERC,CP05-34,6/26/2009,2006,01/01/2006,10,,31,"36,30",
CrossTex Goforth Gas Plant Header,Crosstex Energy Services,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,30,47,30,"24,16",
NGPL Segment One Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,"TX,OK",Southwest,FERC,CP05-34,6/26/2009,2006,01/01/2006,11,,20,20,
CEGT Round Mountain Expansion,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,AR,Southwest,FERC,CP04-377,6/26/2009,2006,01/01/2006,6,,70,,
Stagecoach South Lateral,Central New York Oil & Gas,Lateral,Interstate,Completed,NY,Northeast,FERC,CP06-64,6/26/2009,2006,01/01/2006,10,6,500,20,
Cheyenne Plains Supply Lateral,Cheyenne Plains Pipeline Co,Lateral,Interstate,Completed,CO,Central,FERC,CP06-169,6/26/2009,2006,01/01/2006,21,25,48,10,
Northern Columbus Last Phase,Columbia Gas of Ohio,Expansion,Intrastate,Completed,OH,Northeast,State,na,6/26/2009,2006,01/01/2006,41,24,100,"24,20,12",
CGT Line 1278 Replacement,Columbia Gas Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP04-34,6/26/2009,2006,01/01/2006,85,43,9,20,
ET Barnett-Texoma Expansion Phase 1,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,110,97,600,42,
CrossTex Fort Worth Basin Pipeline,Crosstex Energy Services,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,115,122,250,24,
NWPL Capacity Replacement Project,Northwest Pipeline Co,Expansion,Interstate,Completed,WA,Western,FERC,CP05-32,6/26/2009,2006,01/01/2006,333,80,360,"36,26",
North Side Loop (NSL) East Side,Atmos Energy Inc,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,25,25,225,30,
Rendezvous Pipeline Lateral,Rendezvous Gas Pipeline,Lateral,Interstate,Completed,WY,Central,FERC,CP05-40,6/26/2009,2006,01/01/2006,11,21,300,20,
Windsor Energy Gathering Lateral,Windsor Energy Inc,Lateral,Intrastate,Completed,WY,Central,State,na,6/26/2009,2006,01/01/2006,20,21,300,10,
Northeast ConneXion-NY/NJ,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,"PA,NJ",Northeast,FERC,CP05-355,6/26/2009,2006,01/01/2006,39,6,101,30,
SSTAR Ozark Trails Expansion Project,Southern Star Central PL Co,Expansion,Interstate,Completed,"OK,KS,MO","Southwest,Central",FERC,CP06-94,6/26/2009,2006,01/01/2006,2,2,25,"26,20,16",
GS Carthage to Keatchie Pipeline Loop,Gulf South Pipeline,Expansion,Interstate,Completed,"TX,LA",Southwest,FERC,CP06-127,6/26/2009,2006,01/01/2006,48,21,122,42,
ANR EastLeg Expansion,ANR Pipeline,Lateral,Interstate,Completed,WI,Midwest,FERC,CP04-51,6/26/2009,2005,01/01/2005,19,8,143,"30,8",
KM Rancho Pipeline Phase II,Kinder Morgan Energy Partners,Conversion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2005,01/01/2005,40,254,150,24,
Marion/Delaware Cos Extension,Suburban Gas Co,Expansion,Intrastate,Completed,OH,Northeast,State,na,6/26/2009,2005,01/01/2005,9,20,100,12,
Eastern North Carolina Outer Banks,Eastern North Carolina PL Co,Expansion,Intrastate,Completed,NC,Southeast,State,na,6/26/2009,2005,01/01/2005,5,10,30,6,
FGT Interconnect,Dominion South Pipeline Co,Expansion,Interstate,Completed,TX,Southwest,FERC,CP05-76,6/26/2009,2005,01/01/2005,2,0,200,12,
Tenneco Tewksbury-Andover Lateral,Tennessee Gas Pipeline Co,Lateral,Interstate,Completed,MA,Northeast,FERC,CP04-60,6/26/2009,2005,01/01/2005,8,5,25,8,
CEGT Line AD Expansion Project,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,"OK,TX",Southwest,FERC,CP05-03,6/26/2009,2005,01/01/2005,32,,113,"42,24",
El Paso Line 1903 Conversion,El Paso Natural Gas,Conversion,Interstate,Completed,"AZ,CA",Western,FERC,CP05-02,6/26/2009,2005,01/01/2005,78,94,502,30,
Salt River Landfill Line,SRG (Saltriver Group) Inc,Lateral,Intrastate,Completed,AZ,Western,State,na,6/26/2009,2005,01/01/2005,2,3,2,12,
Enbridge East Texas Pipeline,Enbridge Energy Pipeline Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2005,01/01/2005,130,107,500,36,
ET Forth Worth Basin Pipeline,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2005,01/01/2005,53,54,650,24,
Eastern Shore 2003-5 Expansion Phase 3,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"PA,MD,DE",Northeast,FERC,CP03-80,6/26/2009,2005,01/01/2005,14,24,10,16,
NWPL White River Project,Northwest Pipeline Co,Expansion,Interstate,Completed,WA,Western,FERC,CP03-32,6/26/2009,2005,01/01/2005,29,2,,"30,26",
Discovery Market Expansion,Discovery Gas Transmission LLC,Expansion,Interstate,Completed,"GM,LA","Gulf of Mexico,Southwest",FERC,CP03-342,6/26/2009,2005,01/01/2005,11,3,150,"16,20",
CEGT Line2-AD-24 Childes Lateral,Centerpoint Energy Gas Transmission,Lateral,Interstate,Completed,OK,Southwest,FERC,CP05-58,6/26/2009,2005,01/01/2005,4,24,400,"24,20,16",
Gulfstream Pipeline Phase 2,Gulfstream Natural Gas System,Lateral,Interstate,Completed,FL,Southeast,FERC,CP00-06,6/26/2009,2005,01/01/2005,237,110,175,"30,24",
Consumers Oakland East Portion,Consumers Energy Inc,New Pipeline,Intrastate,Completed,MI,Midwest,State,na,6/26/2009,2005,01/01/2005,28,11,135,36,
TW San Juan 2005 Expansion,Transwestern Pipeline Co,Expansion,Interstate,Completed,NM,Southwest,FERC,CP04-104,6/26/2009,2005,01/01/2005,138,73,375,36,
Petal Gas Capacity Increase,Petal Gas Storage LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP04-424,6/26/2009,2005,01/01/2005,1,,620,36,
Trunkline Lake Charles Lateral Loop 2005,Trunkline Gas Co,Expansion,Interstate,Completed,LA,Southwest,FERC,CP04-64,6/26/2009,2005,01/01/2005,40,23,1100,36,
SONAT Triangle Upgrade,Southern Natural Gas Co,Expansion,Interstate,Completed,GA,Southeast,FERC,CP04-340,6/26/2009,2005,01/01/2005,19,17,,"30,16",
CIG Raton Basin 2005 Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,"CO,KS,OK","Central,Southwest",FERC,CP05-50,6/26/2009,2005,01/01/2005,60,102,104,"24,20,16",
NNG Bluff Creek/Tomah Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,MN,Midwest,FERC,CP05-49,6/26/2009,2005,01/01/2005,8,3,2,30,
Questar Southern Sys 2005 Expansion,Questar Pipeline,Expansion,Interstate,Completed,UT,Central,FERC,CP05-05,6/26/2009,2005,01/01/2005,55,19,102,24,
Cheyenne Plains Expansion,Cheyenne Plains Pipeline Co,Expansion,Interstate,Completed,"CO,KS",Central,FERC,CP04-345,6/26/2009,2005,01/01/2005,8,,170,36,
Dominion Cove Point East Project,Dominion Cove Point LNG PL Co,Expansion,Interstate,Completed,"VA,MD",Northeast,FERC,CP03-74,6/26/2009,2005,01/01/2005,44,,433,36,
Energy Bridge Connection Line,Excelerate Energy LLC,Expansion,Interstate,Completed,GM,Gulf of Mexico,MMS,na,6/26/2009,2005,01/01/2005,5,8,690,20,
Northern Louisiana Expansion (Winnsboro Ext),Regency Intrastate Pipeline Co,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/2009,2005,01/01/2005,157,120,615,"30,24",
North Side Loop (NSL) West Side,Atmos Energy Inc,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2005,01/01/2005,24,22,225,30,
Transco Central New Jersey Expansion Project,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NJ,Northeast,FERC,CP04-396,6/26/2009,2005,01/01/2005,12,4,105,36,
Horseshoe Lake Lateral (A-334),Mississippi River Transmission,Lateral,Interstate,Completed,IL,Midwest,FERC,CP04-346,6/26/2009,2005,01/01/2005,18,4,134,20,
ANR NorthLeg Expansion,ANR Pipeline,Expansion,Interstate,Completed,WI,Midwest,FERC,CP04-01,6/26/2009,2005,01/01/2005,14,,105,,
KM Rancho Pipeline Phase I,Kinder Morgan Energy Partners,Conversion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2004,01/01/2004,30,177,170,24,
Algonquin Everett Alternative Project,Algonquin Gas Transmission,Expansion,Interstate,Completed,MA,Northeast,FERC,CP04-67,6/26/2009,2004,01/01/2004,12,0,60,24,
El Paso Bondad 04 Expansion Proj,El Paso Natural Gas,Expansion,Interstate,Completed,"CO,NM","Central,Southwest",FERC,CP03-57,6/26/2009,2004,01/01/2004,7,,140,,
NEGASCO Interconnect,Yankee Gas Services Co,Expansion,Interstate,Completed,CT,Northeast,FERC,CP04-02,6/26/2009,2004,01/01/2004,5,9,5,"12,8",
Acuna Export Crossing,West Texas Gas Co,Lateral,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP02-97,6/26/2009,2004,01/01/2004,2,9,25,8,
SSTAR Southwest Missouri Expansion Proj,Southern Star Central PL Co,Lateral,Interstate,Completed,"KS,MO",Central,FERC,CP02-416,6/26/2009,2004,01/01/2004,11,16,67,20,
TETCO Dominion Expansion,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP03-43,6/26/2009,2004,01/01/2004,83,35,217,36,
Eastern Shore 2003-5 Expansion Phase 2,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"PA,MD,DE",Northeast,FERC,CP03-80,6/26/2009,2004,01/01/2004,3,3,5,16,
Coos Bay Project,Coos County Pipeline Co,New Pipeline,Intrastate,Completed,OR,Western,State,na,6/26/2009,2004,01/01/2004,28,72,70,"12,6,4",
"MarkWest Pinnacle ""Hobbs"" Lateral Expansion",MarkWest New Mexico LP,Lateral,Interstate,Completed,NM,Southwest,FERC,CP03-323,6/26/2009,2004,01/01/2004,1,2,124,12,
SONAT South Sys Expansion II Phase 3,Southern Natural Gas Co,Expansion,Interstate,Completed,"AL,GA",Southeast,FERC,CP02-01,6/26/2009,2004,01/01/2004,95,46,138,20,
Dominion Mid-Atlantic Expansion,Dominion Transmission,Expansion,Interstate,Completed,"WV,PA,VA",Northeast,FERC,CP03-41,6/26/2009,2004,01/01/2004,78,,217,,
KM Huntsman Expansion,KM Interstate Pipeline Co,Expansion,Interstate,Completed,"CO,NE",Central,FERC,CP03-39,6/26/2009,2004,01/01/2004,27,,62,"12,8",
Montrose/Ouray Lateral,Rocky Mountain Pipeline Co,Lateral,Intrastate,Completed,CO,Central,State,na,6/26/2009,2004,01/01/2004,20,58,14,"8,6",
We Port Washington Lateral,We Energies Inc,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/2009,2004,01/01/2004,46,17,143,"24,20",
Gulfstream Martin Connector,Gulfstream Natural Gas System,Expansion,Interstate,Completed,FL,Southeast,FERC,CP04-09,6/26/2009,2004,01/01/2004,14,5,350,30,
Concord-Tilton Expansion Phase 1&2a,KeySpan Energy Delivery Inc,Expansion,Intrastate,Completed,NH,Northeast,State,na,6/26/2009,2004,01/01/2004,4,7,50,12,
Questar Jurisdictional Tap Line (JTL) 113,Questar Pipeline,Lateral,Interstate,Completed,UT,Central,FERC,CP04-335,6/26/2009,2004,01/01/2004,16,13,190,20,
WIG Echo Springs Lateral,Wyoming Interstate Gas Co,Lateral,Interstate,Completed,WY,Central,FERC,CP04-90,6/26/2009,2004,01/01/2004,12,5,110,16,
NWPL Everett Delta Lateral,Northwest Pipeline Co,Expansion,Interstate,Completed,WA,Western,FERC,CP01-49,6/26/2009,2004,01/01/2004,25,9,113,16,
TW Rewheel Project,Transwestern Pipeline Co,Expansion,Interstate,Completed,"NM,TX",Southwest,FERC,CP05-04,6/26/2009,2004,01/01/2004,0,,10,24,
NNG Pleasant Hill Project,Northern Natural Gas Co,Lateral,Interstate,Completed,IA,Central,FERC,CP04-28,6/26/2009,2004,01/01/2004,4,3,96,16,
TransColorado 2004 Expansion,TransColorado Pipeline,Expansion,Interstate,Completed,"CO,NM","Central,Southwest",FERC,CP04-12,6/26/2009,2004,01/01/2004,33,,125,22,
CIG Cheyenne Plains Pipeline,Colorado Interstate Gas Co,Expansion,Interstate,Completed,"CO,KS",Central,FERC,CP03-302,6/26/2009,2004,01/01/2004,410,380,560,36,
CIG Cheyenne Station Upgrade,Colorado Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP03-301,6/26/2009,2004,01/01/2004,5,,120,,
South Mist Storage Link Phase V,Northwest Natural Gas Co,Lateral,Intrastate,Completed,OR,Western,State,na,6/26/2009,2004,01/01/2004,85,50,320,24,
ET Kathy Bossier Pipeline,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2004,01/01/2004,40,78,500,36,
Santan Expansion Lateral,SRG (Saltriver Group) Inc,Lateral,Intrastate,Completed,AZ,Western,State,na,6/26/2009,2004,01/01/2004,31,36,200,24,
ANR WestLeg Expansion,ANR Pipeline,Expansion,Interstate,Completed,WI,Midwest,FERC,CP02-434,6/26/2009,2004,01/01/2004,42,33,220,"30,20,12",
Iroquois Eastchester Marine Expansion,Iroquois Pipeline Co,Lateral,Interstate,Completed,"ON,CT,NY","Canada,Northeast",FERC,CP00-232,6/26/2009,2004,01/01/2004,334,37,230,24,
El Paso Power-Up Expansion III,El Paso Natural Gas,Expansion,Interstate,Completed,"TX,NM,AZ,CA","Southwest,Western",FERC,CP03-01,6/26/2009,2004,01/01/2004,63,,100,30,
El Paso Power-Up Expansion I&II,El Paso Natural Gas,Expansion,Interstate,Completed,"TX,NM,AZ,CA","Southwest,Western",FERC,CP03-01,6/26/2009,2004,01/01/2004,110,,220,30,
Transco Momentum Phase II,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"AL,MS,GA,SC,VA","Southeast,Northeast",FERC,CP01-388,6/26/2009,2004,01/01/2004,25,26,53,42,
Columbus 3 Storage Pipelines,Bluewater Gas Storage LLC,Lateral,Intrastate,Completed,MI,Midwest,State,na,6/26/2009,2004,01/01/2004,2,2,700,20,
TETCO M-1 2004 Expansion,Texas Eastern Transmission,Expansion,Interstate,Completed,"TN,AL",Southeast,FERC,CP02-381,6/26/2009,2004,01/01/2004,27,7,57,36,
SONAT South Sys Expansion II Phase 1A*,Southern Natural Gas Co,Expansion,Interstate,Completed,"MS,AL",Southeast,FERC,CP02-01,6/26/2009,2003,01/01/2003,62,24,98,"30,36",
CEGT Line ACT-9,Centerpoint Energy Gas Transmission,Lateral,Interstate,Completed,OK,Southwest,FERC,CP03-06,6/26/2009,2003,01/01/2003,1,1,240,20,
Hutchinson Pipeline Project,Hutchinson Utilities Inc,New Pipeline,Intrastate,Completed,MN,Midwest,State,na,6/26/2009,2003,01/01/2003,27,89,60,"16,12",
Questar Kern Expansion,Questar Pipeline,Expansion,Interstate,Completed,WY,Central,FERC,na,6/26/2009,2003,01/01/2003,1,,150,,
Paiute Carson Lateral Upgrade,Paiute Pipeline,Expansion,Interstate,Completed,NV,Western,FERC,CP03-31,6/26/2009,2003,01/01/2003,11,15,6,20,
FGT Phase V Stage 4,Florida Gas Trans Co,Expansion,Interstate,Completed,"MS,AL,FL",Southeast,FERC,CP00-40,6/26/2009,2003,01/01/2003,132,136,130,"24,36,16",
KR Mainline 2003 System Expansion,Kern River Gas Transmission,Expansion,Interstate,Completed,"WY,UT,NV,CA","Central,Western",FERC,CP01-422,6/26/2009,2003,01/01/2003,1260,716,900,36,
Saltville Storage Lateral,Saltville Gas Storage Co,Lateral,Interstate,Completed,VA,Northeast,FERC,CP04-13,6/26/2009,2003,01/01/2003,5,7,550,24,
Questar Southern System Expansion,Questar Pipeline,Expansion,Interstate,Completed,CO,Central,FERC,na,6/26/2009,2003,01/01/2003,4,,90,,
Dominion Ellisburg-Liedy Expansion,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP02-44,6/26/2009,2002,01/01/2003,10,,127,,
Questar Overthrust Tie Line 112,Questar Pipeline,Expansion,Interstate,Completed,"UT,WY",Central,FERC,CP03-36,6/26/2009,2003,01/01/2003,13,17,217,24,
Rio Bravo Lateral,Gasoducto del Rio,Expansion,Interstate,Completed,"TX,MX","Southwest,Mexico",State,na,6/26/2009,2003,01/01/2003,1,6,320,30,
SCANA Elba Island Connection,SCG Pipeline Inc,New Pipeline,Interstate,Completed,"GA,SC",Southeast,FERC,CP02-57,6/26/2009,2003,01/01/2003,36,18,185,20,
SONAT South Sys Expansion II Phase 1*,Southern Natural Gas Co,Expansion,Interstate,Completed,"LA,MS,AL,GA","Southwest,Southeast",FERC,CP02-01,6/26/2009,2003,01/01/2003,70,68,192,"24,20,16",
Tenneco Can-East/Leidy Extn,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,"PA,NY",Northeast,FERC,CP02-46,6/26/2009,2003,01/01/2003,10,,150,,
SONAT South Sys Expansion I Phase 2,Southern Natural Gas Co,Expansion,Interstate,Completed,"MS,AL,SC,GA",Southeast,FERC,CP00-233,6/26/2009,2003,01/01/2003,86,41,196,"36,20",
Sierra Border Station,Sierra Production Co,Expansion,Interstate,Completed,"AB,MT","Canada,Central",FERC,CP01-416,6/26/2009,2003,01/01/2003,0,2,24,6,
Regent Border Station,Regent Resources Ltd,Expansion,Interstate,Completed,"AB,MT","Canada,Central",FERC,CP03-08,6/26/2009,2003,01/01/2003,0,4,20,4,
MidAmerican Des Moines Lateral,MidAmerican Energy Inc,Lateral,Intrastate,Completed,IA,Central,State,na,6/26/2009,2003,01/01/2003,2,13,175,20,
CIG Valley Line III (summer-time enhancement),Colorado Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP03-07,6/26/2009,2003,01/01/2003,10,,50,,
Niagara Mohawk Expansion,Niagara Mohawk Power Co,Lateral,Intrastate,Completed,NY,Northeast,State,na,6/26/2009,2003,01/01/2003,2,9,200,24,
CIG Valley Line II (winter-time enhancement),Colorado Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP03-07,6/26/2009,2003,01/01/2003,13,,42,,
Transco Momentum Phase I,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"LA,AL,MS,GA,SC,NC","Southwest,Southeast",FERC,CP01-388,6/26/2009,2003,01/01/2003,164,42,262,"42,48",
FGT Phase VI Project,Florida Gas Trans Co,Expansion,Interstate,Completed,"AL,FL",Southeast,FERC,CP02-27,6/26/2009,2003,01/01/2003,105,33,121,36,
NorthCoast Gas Trans Compression Addition,Somerset Gas Transmission Inc,Expansion,Intrastate,Completed,OH,Northeast,State,na,6/26/2009,2003,01/01/2003,2,,42,12,
Maritimes & Northeast Phase III Expansion,Maritimes & Northeast Pipeline,Expansion,Interstate,Completed,MA,Northeast,FERC,CP01-4,6/26/2009,2003,01/01/2003,134,25,230,"30,24",
CGT Rock Springs Expansion,Columbia Gas Transmission,Lateral,Interstate,Completed,"PA,MD",Northeast,FERC,CP02-142,6/26/2009,2003,01/01/2003,29,9,263,"24,10",
NNG Project MAX Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,MN,Midwest,FERC,CP02-436,6/26/2009,2003,01/01/2003,6,5,34,8,
We Ixonia Lateral,We Energies Inc,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/2009,2003,01/01/2003,97,35,515,30,
Transco Trenton-Woodbury Loop,Transcontinental Gas Pipeline,Lateral,Interstate,Completed,"NJ,PA",Northeast,FERC,CP02-204,6/26/2009,2003,01/01/2003,33,10,49,"36,24",
Algonquin HubLine,Algonquin Gas Transmission,Expansion,Interstate,Completed,MA,Northeast,FERC,CP01-05,6/26/2009,2003,01/01/2003,127,29,295,"30,24",
Eastern Shore 2003-5 Expansion Phase 1,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"PA,MD,DE",Northeast,FERC,CP03-80,6/26/2009,2003,01/01/2003,1,,4,16,
Wild Goose Lateral,Wild Goose Storage Inc,Lateral,Intrastate,Completed,CA,Western,State,na,6/26/2009,2003,01/01/2003,20,25,700,30,
South Mist Storage Link Phase IV,Northwest Natural Gas Co,Lateral,Intrastate,Completed,OR,Western,State,na,6/26/2009,2003,01/01/2003,19,12,320,24,
ETenn Patriot Extension I,East Tennessee Nat Gas Co,Expansion,Interstate,Completed,"VA,NC","Northeast,Southeast",FERC,CP01-415,8/31/2009,2003,01/01/2003,225,95,315,"24,20",
West Texas Gas Export Expansion,West Texas Gas Co,Expansion,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP02-382,6/26/2009,2003,01/01/2003,0,1,9,12,
WB Grasslands Project I,Williston Basin Interstate PL,New Pipeline,Interstate,Completed,"WY,MT,ND",Central,FERC,CP02-37,6/26/2009,2003,01/01/2003,79,253,80,"16,8",
Shoshone Pipeline,Energy West Development Inc,Conversion,Interstate,Completed,"WY,MT",Central,FERC,CP03-02,6/26/2009,2003,01/01/2003,0,34,14,6,
SONAT North System Expansion,Southern Natural Gas Co,Lateral,Interstate,Completed,AL,Southeast,FERC,CP01-161,6/26/2009,2003,01/01/2003,25,5,33,"24,20,16",
KM Midcon Roma Export Station,Kinder Morgan Texas Pipeline,Expansion,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP96-583,6/26/2009,2003,01/01/2003,1,0,375,30,
NWPL Rockies Expansion,Northwest Pipeline Co,Expansion,Interstate,Completed,"WY,OR","Central,Western",FERC,CP01-438,6/26/2009,2003,01/01/2003,139,91,175,"26,30",
KM Midcon Texas Pipeline Expansion,Kinder Morgan Texas Pipeline,New Pipeline,Interstate,Completed,TX,Southwest,FERC,CP96-140,6/26/2009,2003,01/01/2003,32,9,375,30,
NWPL Ridges Basin Dam Project,Northwest Pipeline Co,Expansion,Interstate,Completed,CO,Central,FERC,CP02-423,6/26/2009,2003,01/01/2003,17,7,,26,
NWPL Evergreen Expansion,Northwest Pipeline Co,Expansion,Interstate,Completed,WA,Western,FERC,CP02-04,6/26/2009,2003,01/01/2003,241,26,268,36,
Ninilchik Pipeline,Kenai Kachemak Pipeline LLC,New Pipeline,Intrastate,Completed,AK,Alaska,State,na,6/26/2009,2003,01/01/2003,25,33,120,12,
Tenneco South Texas Export,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP02-116/117,6/26/2009,2003,01/01/2003,40,9,312,"30,24",
TPL 2002 Sys Expansion Phase I,Tuscarora Pipeline Co,Lateral,Interstate,Completed,"OR,CA,NV",Western,FERC,CP01-153,6/26/2009,2002,01/01/2002,36,11,54,16,
Guardian Pipeline Project,Guardian Pipeline Co,New Pipeline,Interstate,Completed,"IL,WI",Midwest,FERC,CP00-36,6/26/2009,2002,01/01/2002,238,142,750,"36,16",
Decatur Power Lateral,MidCoast Pipeline Co,Lateral,Intrastate,Completed,AL,Southeast,State,na,6/26/2009,2002,01/01/2002,23,50,160,30,
El Paso Ductos De Nogales Project,El Paso Natural Gas,Lateral,Interstate,Completed,"AZ,MX","Western,Mexico",FERC,CP01-41,6/26/2009,2002,01/01/2002,0,1,9,"16,6",
KR Kramer Junction Interconnect,Kern River Gas Transmission,Expansion,Interstate,Completed,CA,Western,FERC,CP02-15,6/26/2009,2002,01/01/2002,2,,500,20,
TW Bloomfield Station 02 Expansion,Transwestern Pipeline Co,Expansion,Interstate,Completed,NM,Southwest,FERC,CP02-134,6/26/2009,2002,01/01/2002,0,,10,,
KR Moapa Lateral,Kern River Gas Transmission,Lateral,Interstate,Completed,NV,Western,FERC,CP01-380,6/26/2009,2002,01/01/2002,4,4,219,16,
CGT Ohio 2002 Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,OH,Northeast,FERC,CP01-70,6/26/2009,2002,01/01/2002,11,,140,,
TETCO TIME Expansion (Incremental Market Area Expansion),Texas Eastern Transmission,Expansion,Interstate,Completed,"WV,NJ",Northeast,FERC,CP02-32,6/26/2009,2002,01/01/2002,75,36,100,36,
El Paso Line 2000 Project,El Paso Natural Gas,Conversion,Interstate,Completed,"TX,NM,AZ,CA","Southwest,Western",FERC,CP00-422,6/26/2009,2002,01/01/2002,204,1088,230,30,
Petal Gas Storage Extension,Petal Gas Storage LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP01-69,6/26/2009,2002,01/01/2002,94,59,680,36,
El Paso Samalayuca Expansion,El Paso Natural Gas,Expansion,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP93-253-004,6/26/2009,2002,01/01/2002,,,100,24,
MichCon Renaissance Line,Michigan Consolidated PL Co,Lateral,Intrastate,Completed,MI,Midwest,State,na,6/26/2009,2002,01/01/2002,,9,110,20,
CIG Valley Line Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP01-45,6/26/2009,2002,01/01/2002,72,119,282,"20,24",
Tenneco Stagecoach Lateral,Tennessee Gas Pipeline Co,Lateral,Interstate,Completed,"NY,PA",Northeast,FERC,CP00-65,6/26/2009,2002,01/01/2002,87,24,487,"30,24",
Transco MarketLink Phase II,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"NJ,NY",Northeast,FERC,CP98-540,6/26/2009,2002,01/01/2002,120,30,127,42,
SONATSouth Sys Expansion I Phase 1,Southern Natural Gas Co,Expansion,Interstate,Completed,"MS,AL,GA",Southeast,FERC,CP00-233,6/26/2009,2002,01/01/2002,54,39,140,"36,24",
CIG Raton Basin 2002 Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,"CO,OK","Central,Southwest",FERC,CP02-06,6/26/2009,2002,01/01/2002,22,54,47,"16,20",
PG&E-NW 2002 Expansion,Gas Transmission Northwest Co,Expansion,Interstate,Completed,"BC,OR,ID,CA","Canada,Western",FERC,CP01-141,6/26/2009,2002,01/01/2002,129,21,207,42,
KR Mainline 2002 System Expansion,Kern River Gas Transmission,Expansion,Interstate,Completed,"WY,UT,NV,CA","Central,Western",FERC,CP01-31,6/26/2009,2002,01/01/2002,80,,,36,
Missouri Interstate Gas Pipeline,Missouri Interstate Gas LLC,Conversion,Interstate,Completed,"IL,MO","Midwest,Central",FERC,CP02-399,6/26/2009,2002,01/01/2002,13,6,20,12,
El Paso Pinnacle West Lateral,El Paso Natural Gas,Lateral,Interstate,Completed,AZ,Western,FERC,CP01-90,6/26/2009,2002,01/01/2002,6,6,620,"26,24,20",
FGT Phase V Stage 3,Florida Gas Trans Co,Lateral,Interstate,Completed,FL,Southeast,FERC,CP00-40,6/26/2009,2002,01/01/2002,13,15,180,24,
Tenneco Rhode Island Lateral Expansion,Tennessee Gas Pipeline Co,Lateral,Interstate,Completed,RI,Northeast,FERC,CP01-404,6/26/2009,2002,01/01/2002,14,,100,12,
TW Red Rock Expansion,Transwestern Pipeline Co,Expansion,Interstate,Completed,"NM,AZ,CA","Southwest,Western",FERC,CP01-115,6/26/2009,2002,01/01/2002,93,,120,30,
Transco Leidy East Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"PA,NJ,NY",Northeast,FERC,CP01-389,6/26/2009,2002,01/01/2002,128,31,126,42,
Transco Sundance Expansion,Transcontinental Gas Pipeline,Lateral,Interstate,Completed,"LA,AL,GA,SC,NC,VA","Southwest,Northeast",FERC,CP00-165,6/26/2009,2002,01/01/2002,135,38,230,"42,48",
